District,Season,Soil_Type,Soil_N_kg_ha,Soil_P_kg_ha,Soil_K_kg_ha,Soil_pH,Organic_Carbon_pct,Avg_Temperature_C,Rainfall_mm,Humidity_pct,Primary_Crop
Kadapa,Zaid,Coastal Sands,78.5,48.9,62.5,6.7,0.57,32.1,354.1,75.7,Red Gram
Konaseema,Rabi,Red,110.0,66.6,81.9,7.0,0.67,21.4,1137.4,69.5,Groundnut
Eluru,Zaid,Laterite,209.0,114.8,152.9,6.5,0.4,33.0,522.2,55.4,Mango
Parvathipuram Manyam,Rabi,Alluvial,181.0,99.5,130.3,6.7,0.57,24.1,698.4,47.9,Chillies
Nandyal,Kharif,Alluvial,40.2,29.8,33.7,7.5,0.91,29.3,759.3,80.0,Sugarcane
Kurnool,Kharif,Red,218.0,121.2,158.3,7.4,1.03,29.1,798.2,74.1,Papaya
Srikakulam,Zaid,Red,49.1,35.7,42.4,8.2,0.55,33.9,1102.6,58.6,Pearl Millet
Nandyal,Zaid,Red,39.4,29.6,34.1,6.0,0.79,25.1,687.8,66.7,Sorghum
Nandyal,Kharif,Alluvial,249.6,133.4,182.0,6.8,1.09,28.0,702.6,74.4,Coconut
Krishna,Kharif,Alluvial,49.3,33.7,40.0,5.9,0.81,34.2,1160.9,65.4,Pearl Millet
Bapatla,Rabi,Laterite,178.3,100.0,130.2,5.8,0.81,29.4,159.8,85.7,Chillies
Sri Satya Sai,Kharif,Coastal Sands,258.3,138.7,189.0,8.5,0.67,20.1,401.5,75.2,Vegetables
Visakhapatnam,Rabi,Coastal Sands,210.7,116.3,152.1,7.8,1.18,29.5,409.2,69.8,Mango
Tirupati,Rabi,Black,129.8,74.5,98.3,7.3,1.04,34.8,80.2,64.1,Sunflower
Kurnool,Zaid,Red,169.9,95.2,125.2,7.4,1.11,28.6,1181.2,76.1,Tobacco
Tirupati,Kharif,Black,80.9,50.0,63.3,8.0,1.1,21.2,498.9,87.9,Red Gram
Anantapur,Kharif,Red,158.6,89.5,120.0,8.2,1.01,30.4,550.4,77.2,Sugarcane
Nandyal,Zaid,Red,239.8,129.3,174.1,8.0,1.06,21.5,1196.2,51.2,Cashew
Kadapa,Zaid,Coastal Sands,249.2,132.9,180.7,5.6,0.52,31.2,694.5,57.8,Coconut
Kurnool,Kharif,Laterite,249.7,134.0,180.0,5.8,0.54,26.1,1131.3,82.0,Coconut
Srikakulam,Rabi,Coastal Sands,209.8,115.4,152.8,8.4,0.43,24.0,1145.2,70.8,Mango
NTR,Kharif,Alluvial,108.5,66.6,81.9,7.7,1.04,26.2,847.9,59.3,Groundnut
Krishna,Kharif,Black,110.4,64.7,84.0,6.3,0.39,30.2,1149.4,61.0,Groundnut
Bapatla,Kharif,Coastal Sands,209.9,115.0,152.0,7.0,0.8,24.7,272.7,67.0,Mango
Anantapur,Rabi,Black,230.8,126.1,167.4,8.0,0.44,20.8,347.3,58.6,Oil Palm
Parvathipuram Manyam,Zaid,Laterite,191.3,105.9,138.5,5.8,0.43,32.1,956.2,71.0,Turmeric
Eluru,Rabi,Red,20.7,19.1,20.4,5.9,0.98,21.1,363.9,77.3,Paddy
Visakhapatnam,Rabi,Black,30.5,25.9,25.5,7.6,0.3,25.8,1171.2,70.2,Maize
Krishna,Rabi,Alluvial,160.5,90.3,116.1,6.4,0.32,27.7,192.4,56.5,Sugarcane
NTR,Zaid,Red,70.6,45.4,54.9,7.1,0.74,27.3,873.4,56.4,Bengal Gram
Alluri Sitharama Raju,Kharif,Red,261.2,139.6,187.2,5.7,0.54,24.7,476.4,51.3,Mango
Annamayya,Zaid,Coastal Sands,149.2,84.4,111.1,7.3,1.07,20.3,1156.2,71.0,Cotton
Kakinada,Zaid,Alluvial,220.9,120.8,159.3,6.4,0.32,23.8,1105.4,73.3,Papaya
Parvathipuram Manyam,Rabi,Alluvial,51.0,36.0,40.6,6.6,0.43,30.0,368.3,84.8,Pearl Millet
Bapatla,Rabi,Black,111.0,63.7,81.3,5.7,0.65,31.2,382.9,84.3,Groundnut
Bapatla,Zaid,Coastal Sands,130.9,73.7,95.1,7.2,1.03,21.4,553.7,61.0,Sunflower
East Godavari,Rabi,Black,131.3,74.3,95.6,7.3,0.64,32.8,1037.3,57.3,Sunflower
Srikakulam,Rabi,Red,220.6,120.6,159.4,6.6,0.92,34.6,905.0,76.5,Papaya
Chittoor,Kharif,Red,119.3,70.9,88.5,8.0,0.4,21.6,837.5,52.0,Sesame
Anantapur,Rabi,Black,248.4,133.7,181.3,5.7,1.17,29.4,1123.1,54.5,Coconut
Anantapur,Rabi,Laterite,200.2,111.2,146.3,6.8,0.99,33.3,259.8,73.2,Banana
Kurnool,Rabi,Alluvial,159.4,89.3,117.1,7.8,0.81,24.6,94.5,89.7,Sugarcane
Nellore,Zaid,Black,121.0,69.8,90.3,7.0,0.69,28.9,1089.7,54.3,Sesame
Bapatla,Zaid,Black,139.7,79.6,103.2,7.1,0.3,22.4,286.3,40.1,Castor
Guntur,Zaid,Coastal Sands,191.4,107.0,138.1,7.8,0.65,34.2,689.7,54.6,Turmeric
Konaseema,Zaid,Laterite,38.8,29.9,31.8,6.4,0.3,24.4,53.1,62.3,Sorghum
Anakapalli,Rabi,Laterite,110.4,66.8,81.7,6.2,0.59,21.5,274.4,88.2,Groundnut
Anantapur,Rabi,Coastal Sands,140.7,79.9,104.3,6.1,0.8,25.5,359.1,52.1,Castor
Annamayya,Kharif,Alluvial,119.9,69.0,91.1,8.4,0.53,22.8,748.8,79.9,Sesame
Eluru,Rabi,Laterite,89.3,55.1,68.1,6.9,0.83,34.0,831.3,85.8,Green Gram
Sri Satya Sai,Kharif,Laterite,229.7,124.4,166.3,7.0,1.19,21.2,1082.7,82.5,Oil Palm
Anakapalli,Zaid,Alluvial,189.8,104.5,138.8,6.0,0.78,22.3,336.7,69.9,Turmeric
Anakapalli,Kharif,Coastal Sands,30.3,25.6,26.5,6.2,0.83,22.5,237.3,67.3,Maize
Annamayya,Kharif,Alluvial,60.4,38.9,48.2,6.3,0.85,29.5,675.7,81.4,Finger Millet
Anantapur,Kharif,Alluvial,180.6,100.4,131.7,7.8,1.05,31.7,601.8,74.3,Chillies
West Godavari,Rabi,Alluvial,49.7,34.8,42.0,5.6,0.95,31.9,371.4,49.8,Pearl Millet
Guntur,Rabi,Laterite,149.8,86.5,110.9,6.1,1.11,25.4,1136.8,57.7,Cotton
Krishna,Zaid,Laterite,132.0,75.4,97.2,6.8,0.96,24.0,263.4,73.8,Sunflower
Palnadu,Rabi,Laterite,201.3,110.3,146.2,6.7,0.84,32.3,800.9,62.0,Green Gram
Nellore,Kharif,Red,131.1,76.1,96.2,5.5,0.45,25.3,641.9,61.3,Sunflower
Parvathipuram Manyam,Zaid,Alluvial,152.4,84.2,108.9,8.1,1.1,20.1,491.1,69.8,Cotton
Kadapa,Kharif,Laterite,100.5,60.1,77.4,7.6,0.76,25.0,111.9,40.7,Black Gram
Alluri Sitharama Raju,Zaid,Black,40.7,30.6,34.2,6.5,0.51,30.9,614.6,73.9,Sorghum
NTR,Zaid,Alluvial,29.2,26.2,26.2,7.6,0.85,24.7,124.6,80.9,Maize
Srikakulam,Rabi,Laterite,109.8,63.6,83.0,7.6,1.09,28.3,847.5,47.0,Groundnut
Nellore,Rabi,Red,50.2,34.9,40.7,6.1,0.62,26.6,892.7,64.5,Pearl Millet
Kurnool,Zaid,Black,21.1,19.6,18.3,6.9,0.84,25.7,54.3,80.4,Paddy
Visakhapatnam,Zaid,Red,200.2,108.6,144.7,7.1,0.87,21.9,675.3,55.8,Banana
Annamayya,Rabi,Red,199.0,111.8,147.0,6.5,0.46,34.3,350.9,77.3,Banana
Kadapa,Zaid,Red,29.7,26.0,26.4,6.2,1.04,34.7,150.0,59.2,Maize
Prakasam,Rabi,Red,90.2,53.2,69.4,7.5,0.86,32.3,1000.8,63.3,Green Gram
Eluru,Kharif,Laterite,237.7,132.5,173.6,7.6,0.99,21.3,163.1,48.2,Cashew
Kakinada,Zaid,Alluvial,249.0,136.2,181.0,6.3,0.72,23.0,527.2,54.9,Coconut
Kurnool,Kharif,Coastal Sands,218.4,119.0,159.7,6.4,0.72,22.6,789.4,82.1,Papaya
Alluri Sitharama Raju,Rabi,Alluvial,138.0,80.3,106.1,7.2,1.0,20.1,312.5,43.9,Castor
Krishna,Zaid,Coastal Sands,239.8,128.9,172.0,6.0,1.16,24.4,1139.4,41.2,Cashew
Eluru,Zaid,Laterite,249.4,135.8,181.5,8.0,0.95,27.7,1168.7,53.6,Coconut
NTR,Kharif,Laterite,40.3,30.5,35.6,7.2,1.04,32.7,1098.5,54.4,Sorghum
Nandyal,Kharif,Red,181.1,99.5,132.2,6.2,0.71,24.4,110.1,76.0,Chillies
Bapatla,Zaid,Coastal Sands,180.1,99.3,132.5,7.7,0.55,25.5,1030.4,68.9,Chillies
Kurnool,Rabi,Coastal Sands,249.4,136.1,181.6,6.3,0.89,29.5,758.5,44.9,Coconut
Sri Satya Sai,Zaid,Alluvial,140.2,80.7,104.0,6.2,0.48,33.6,581.1,76.9,Castor
Vizianagaram,Rabi,Coastal Sands,221.0,121.4,162.0,5.8,0.36,21.9,555.3,80.0,Papaya
Sri Satya Sai,Zaid,Red,89.9,56.0,70.1,6.4,0.72,25.1,671.9,87.6,Green Gram
Nandyal,Zaid,Coastal Sands,149.5,85.9,112.0,5.8,0.68,33.0,844.5,59.3,Cotton
Bapatla,Kharif,Laterite,160.4,90.6,118.9,5.5,0.66,33.3,101.0,86.6,Sugarcane
Nandyal,Kharif,Alluvial,29.8,24.0,26.8,7.1,0.43,30.0,459.7,62.4,Maize
Visakhapatnam,Kharif,Laterite,29.9,25.1,28.5,7.1,0.32,28.2,123.1,53.7,Maize
Anantapur,Rabi,Laterite,160.3,89.6,118.7,7.2,1.17,20.4,83.0,76.3,Sugarcane
Anantapur,Kharif,Black,39.0,31.6,33.7,6.4,0.96,21.9,1179.7,83.3,Sorghum
Anakapalli,Zaid,Black,221.7,120.1,160.1,7.5,1.0,22.8,247.5,73.5,Papaya
Sri Satya Sai,Rabi,Laterite,21.0,19.2,21.3,6.5,0.66,30.4,149.8,88.1,Paddy
Chittoor,Kharif,Red,139.0,78.6,103.8,8.2,0.81,30.4,873.9,84.5,Castor
Nellore,Zaid,Red,189.6,104.0,138.4,7.0,0.44,31.1,994.3,47.4,Turmeric
Chittoor,Zaid,Alluvial,218.1,119.6,160.5,6.5,0.91,24.2,696.4,70.7,Papaya
Tirupati,Kharif,Laterite,180.0,100.3,132.1,7.0,1.08,30.0,597.6,40.3,Chillies
Krishna,Zaid,Black,179.0,100.6,132.1,8.4,0.82,27.2,1166.1,70.1,Chillies
Kakinada,Kharif,Red,140.4,79.3,104.4,7.2,0.98,26.5,323.8,44.4,Castor
Palnadu,Zaid,Coastal Sands,110.3,66.7,82.1,7.8,0.57,26.1,69.3,56.8,Groundnut
Guntur,Zaid,Laterite,199.3,110.1,146.9,8.5,0.37,34.3,1034.7,58.5,Banana
Kadapa,Kharif,Laterite,49.0,34.4,40.1,7.4,0.81,34.8,228.3,50.3,Pearl Millet
Anantapur,Kharif,Laterite,209.2,115.0,152.4,6.1,0.9,20.7,594.6,58.4,Mango
Kakinada,Rabi,Coastal Sands,220.5,121.2,161.2,6.1,1.18,26.2,607.0,49.0,Papaya
NTR,Rabi,Alluvial,210.6,115.0,153.6,7.5,0.86,31.0,90.5,61.0,Banana
Nellore,Zaid,Coastal Sands,222.2,119.8,160.1,5.7,0.63,23.3,499.0,82.9,Papaya
Parvathipuram Manyam,Zaid,Laterite,189.0,105.0,140.4,7.7,0.74,24.0,237.3,81.0,Turmeric
Visakhapatnam,Zaid,Alluvial,199.9,109.8,146.1,6.0,0.54,27.9,157.6,87.4,Banana
Anantapur,Kharif,Black,220.1,121.2,161.3,8.2,0.53,28.2,295.1,90.0,Papaya
Sri Satya Sai,Rabi,Alluvial,49.4,35.9,40.7,7.2,1.1,24.6,1081.0,73.0,Pearl Millet
Alluri Sitharama Raju,Zaid,Red,19.3,20.9,20.5,5.5,1.02,28.9,896.0,86.8,Paddy
East Godavari,Zaid,Black,89.9,56.7,67.9,6.8,0.72,21.7,489.7,72.2,Green Gram
Prakasam,Kharif,Laterite,71.3,44.1,55.4,6.8,0.55,30.4,908.3,49.8,Bengal Gram
Sri Satya Sai,Rabi,Laterite,178.8,100.5,132.4,7.6,0.91,33.4,385.7,89.3,Chillies
Kakinada,Kharif,Laterite,18.7,20.0,19.2,7.2,0.74,24.4,555.8,71.8,Paddy
Kurnool,Kharif,Red,72.3,44.3,55.9,7.6,1.03,20.5,768.4,82.3,Bengal Gram
Visakhapatnam,Kharif,Black,89.5,56.1,69.4,6.6,0.86,22.9,926.6,60.8,Green Gram
Bapatla,Rabi,Black,49.7,33.7,41.6,7.4,0.44,31.1,474.8,55.4,Pearl Millet
Kurnool,Zaid,Alluvial,220.8,120.9,160.8,7.3,0.53,24.7,536.3,56.3,Papaya
NTR,Zaid,Black,59.5,40.9,47.3,6.3,0.68,24.0,205.1,75.2,Finger Millet
West Godavari,Zaid,Laterite,120.1,70.3,92.4,8.0,0.38,21.9,638.3,49.4,Sesame
West Godavari,Kharif,Red,249.7,134.6,179.9,6.6,0.91,22.4,94.2,79.7,Coconut
Annamayya,Rabi,Red,220.8,121.7,160.7,6.0,1.03,29.3,395.4,61.1,Papaya
Vizianagaram,Kharif,Black,219.4,119.5,161.6,7.4,0.52,32.2,1012.9,61.3,Papaya
Visakhapatnam,Rabi,Laterite,19.7,20.6,20.3,7.0,1.0,26.5,101.3,85.0,Paddy
Sri Satya Sai,Kharif,Alluvial,199.1,111.6,146.7,8.5,0.68,27.7,188.8,83.1,Banana
Sri Satya Sai,Rabi,Coastal Sands,258.0,139.6,189.8,5.7,0.5,28.1,129.7,52.9,Vegetables
Krishna,Zaid,Laterite,19.5,19.4,19.0,8.0,1.19,33.7,742.7,71.9,Paddy
Alluri Sitharama Raju,Rabi,Black,259.6,140.0,186.8,6.1,0.98,25.7,110.6,72.7,Vegetables
Visakhapatnam,Rabi,Black,148.0,83.8,111.0,8.2,0.63,22.1,629.5,42.2,Cotton
Anakapalli,Rabi,Laterite,89.8,56.2,66.5,6.9,0.81,29.3,733.3,88.1,Green Gram
Tirupati,Rabi,Alluvial,190.5,104.5,138.8,5.7,0.95,29.2,1128.8,60.8,Turmeric
NTR,Rabi,Coastal Sands,99.7,59.5,76.4,5.6,1.11,29.2,974.0,43.1,Black Gram
East Godavari,Zaid,Black,200.7,110.9,146.7,8.4,1.18,33.5,904.2,67.9,Banana
East Godavari,Rabi,Red,109.6,66.0,84.0,5.5,0.5,32.4,136.5,66.5,Groundnut
Chittoor,Zaid,Red,159.4,88.0,120.4,8.1,0.57,20.6,97.4,74.7,Sugarcane
East Godavari,Zaid,Red,241.4,129.2,174.1,7.6,0.37,31.1,474.1,56.9,Cashew
East Godavari,Zaid,Coastal Sands,51.5,34.5,42.6,6.7,0.93,23.3,1136.9,59.9,Pearl Millet
Eluru,Kharif,Black,141.0,80.6,104.4,6.0,0.93,26.9,937.6,88.0,Castor
Chittoor,Zaid,Coastal Sands,19.0,19.5,20.7,6.8,0.5,29.8,451.9,41.1,Paddy
Konaseema,Zaid,Red,17.7,20.2,17.6,7.1,0.9,31.9,744.8,60.4,Paddy
Guntur,Kharif,Coastal Sands,229.5,126.2,165.7,8.3,0.68,31.1,1142.3,43.3,Oil Palm
Anakapalli,Zaid,Red,221.0,119.1,160.3,8.0,0.93,28.2,556.8,83.2,Papaya
Krishna,Rabi,Alluvial,249.2,135.2,179.5,6.6,0.69,25.9,112.2,64.5,Maize
West Godavari,Rabi,Alluvial,220.2,120.0,159.6,7.5,0.89,32.7,590.7,51.7,Papaya
Kadapa,Rabi,Alluvial,130.3,73.6,96.3,6.8,0.74,29.2,416.5,69.1,Sunflower
Anantapur,Rabi,Coastal Sands,171.0,95.7,122.1,5.7,0.57,34.8,672.9,76.9,Tobacco
Prakasam,Kharif,Laterite,230.2,124.3,165.5,8.4,0.72,27.8,83.4,87.3,Oil Palm
Visakhapatnam,Zaid,Red,70.1,44.9,57.1,7.3,0.93,27.6,887.0,73.3,Bengal Gram
Vizianagaram,Kharif,Coastal Sands,169.5,95.2,124.3,5.9,0.7,29.2,1174.1,41.0,Tobacco
Krishna,Zaid,Red,50.1,34.6,38.9,7.0,0.78,24.3,758.9,64.5,Pearl Millet
Tirupati,Kharif,Black,130.5,76.1,97.2,6.9,0.75,27.4,690.7,64.7,Sunflower
Sri Satya Sai,Rabi,Red,119.6,70.4,89.3,5.7,1.11,26.3,363.2,68.2,Sesame
West Godavari,Zaid,Alluvial,139.1,80.8,103.6,7.4,0.35,26.1,881.4,54.7,Castor
Annamayya,Kharif,Black,199.5,111.5,146.2,5.9,0.48,27.8,757.5,75.5,Banana
West Godavari,Rabi,Black,140.9,80.5,105.7,7.2,0.74,29.4,617.6,58.6,Castor
Parvathipuram Manyam,Zaid,Laterite,170.2,97.2,124.7,5.8,0.41,28.2,1151.9,78.7,Tobacco
Krishna,Rabi,Coastal Sands,49.8,35.1,41.1,8.5,1.16,31.5,577.4,71.4,Pearl Millet
Visakhapatnam,Rabi,Black,50.6,35.6,39.8,8.0,1.1,24.1,1101.1,40.1,Pearl Millet
Annamayya,Zaid,Red,179.4,100.6,130.9,6.0,1.02,34.7,963.1,73.7,Chillies
Anakapalli,Rabi,Red,230.0,126.3,167.2,7.5,1.18,31.1,274.6,60.1,Oil Palm
Eluru,Kharif,Coastal Sands,140.1,80.4,104.3,6.5,1.2,28.0,367.9,73.1,Castor
Bapatla,Rabi,Red,59.0,39.7,45.7,8.1,0.46,31.9,133.1,65.8,Finger Millet
Parvathipuram Manyam,Kharif,Alluvial,139.0,79.2,103.7,7.7,0.73,27.1,978.5,75.6,Castor
Visakhapatnam,Rabi,Laterite,197.5,109.7,147.5,6.9,1.19,28.1,1173.2,63.1,Banana
Kakinada,Zaid,Alluvial,61.1,40.6,48.8,8.3,0.82,32.4,720.4,58.9,Finger Millet
Bapatla,Kharif,Laterite,229.6,124.7,167.0,8.1,0.94,26.3,948.6,79.5,Oil Palm
Visakhapatnam,Zaid,Red,259.2,139.7,187.9,7.0,0.77,34.8,698.1,52.0,Vegetables
Nandyal,Kharif,Alluvial,58.9,40.1,47.2,6.1,0.84,27.1,1004.5,75.7,Finger Millet
Bapatla,Kharif,Alluvial,211.0,115.3,151.5,8.2,0.51,20.6,450.1,78.3,Mango
Nellore,Zaid,Laterite,219.2,117.9,159.3,7.1,0.42,29.6,545.0,54.1,Papaya
Vizianagaram,Zaid,Coastal Sands,19.5,20.3,20.2,6.9,0.48,31.7,777.9,77.1,Tobacco
Srikakulam,Rabi,Laterite,38.9,29.5,34.7,7.6,1.18,34.3,763.5,58.8,Sorghum
Srikakulam,Rabi,Coastal Sands,29.2,25.1,25.0,8.4,1.17,30.1,506.7,86.2,Maize
Anantapur,Rabi,Coastal Sands,249.7,134.9,182.2,8.4,0.92,22.9,700.3,90.0,Coconut
Kurnool,Kharif,Coastal Sands,240.2,129.1,175.0,5.9,0.6,25.3,610.6,65.0,Cashew
NTR,Rabi,Red,50.5,35.6,39.6,5.5,0.98,28.4,837.7,41.8,Pearl Millet
Palnadu,Kharif,Black,232.1,126.2,168.3,6.1,0.7,28.3,97.0,67.8,Oil Palm
Annamayya,Kharif,Alluvial,190.0,104.1,137.6,8.5,0.89,31.5,689.5,52.8,Turmeric
Palnadu,Zaid,Coastal Sands,59.3,39.6,48.0,8.5,1.13,28.1,1101.8,51.0,Finger Millet
Eluru,Zaid,Laterite,111.5,64.7,83.1,7.2,1.12,23.8,412.2,88.7,Groundnut
Prakasam,Zaid,Red,32.4,24.8,25.3,7.9,0.98,27.4,97.0,59.9,Maize
Annamayya,Rabi,Alluvial,20.1,20.7,19.2,8.0,0.7,26.7,344.3,81.9,Paddy
Kurnool,Rabi,Laterite,40.8,29.3,34.4,6.8,0.33,25.4,813.6,74.9,Sorghum
Tirupati,Rabi,Black,160.5,91.5,118.4,7.7,0.56,26.6,51.2,76.7,Sugarcane
NTR,Kharif,Red,259.4,139.4,188.0,6.3,0.59,21.8,641.4,70.1,Vegetables
Visakhapatnam,Zaid,Laterite,241.6,129.2,175.8,5.8,0.58,32.0,1155.5,46.7,Cashew
Kakinada,Rabi,Black,220.8,119.9,160.2,7.4,0.88,21.4,325.2,70.1,Papaya
East Godavari,Zaid,Red,240.2,129.3,173.4,6.2,1.15,21.1,629.7,61.6,Cashew
Sri Satya Sai,Zaid,Laterite,241.4,132.2,174.7,6.1,0.5,24.9,787.9,59.7,Cashew
Anakapalli,Rabi,Red,260.8,139.2,186.8,6.9,0.35,25.7,1087.3,61.0,Vegetables
Prakasam,Zaid,Black,19.4,20.9,18.7,8.4,0.37,24.3,807.1,52.7,Paddy
Annamayya,Zaid,Laterite,209.8,114.6,154.0,5.8,1.15,34.3,112.4,46.4,Mango
Eluru,Zaid,Laterite,61.3,40.5,49.2,5.9,0.65,27.0,255.3,73.7,Finger Millet
Srikakulam,Kharif,Coastal Sands,211.2,114.4,153.1,7.4,0.92,28.9,677.9,63.4,Mango
Chittoor,Rabi,Laterite,140.6,79.3,104.0,8.4,0.82,20.8,886.3,78.5,Castor
Parvathipuram Manyam,Kharif,Black,239.2,130.6,174.2,6.5,1.13,29.5,365.4,64.1,Cashew
Anakapalli,Kharif,Red,248.8,136.6,180.9,7.4,0.74,26.7,931.6,83.1,Coconut
Anantapur,Kharif,Black,178.7,99.0,131.3,6.6,0.33,33.2,1124.0,48.3,Chillies
Tirupati,Zaid,Red,87.2,54.3,70.3,6.1,1.11,21.7,649.6,47.7,Green Gram
Guntur,Rabi,Red,190.7,104.3,138.9,5.8,0.65,22.0,661.8,74.7,Turmeric
Chittoor,Zaid,Alluvial,149.9,84.6,109.3,6.5,0.82,23.1,404.0,60.2,Cotton
Srikakulam,Rabi,Coastal Sands,168.3,96.1,123.4,6.3,1.17,27.5,541.2,41.5,Tobacco
Eluru,Kharif,Coastal Sands,189.6,105.5,137.3,5.5,0.95,24.7,421.3,66.6,Turmeric
Konaseema,Rabi,Black,239.7,129.7,173.7,7.3,0.56,30.4,1065.7,80.7,Cashew
Nandyal,Kharif,Laterite,109.4,65.2,83.8,6.4,0.73,31.5,940.8,48.9,Groundnut
Kurnool,Zaid,Laterite,187.4,105.9,140.0,7.0,0.31,33.8,461.7,59.8,Turmeric
Sri Satya Sai,Rabi,Coastal Sands,107.9,63.5,83.6,8.3,0.56,24.0,999.5,69.1,Groundnut
East Godavari,Kharif,Red,191.1,107.6,138.8,7.7,0.34,26.8,447.4,60.3,Turmeric
Kadapa,Zaid,Alluvial,109.6,67.3,82.4,7.0,1.08,32.6,142.2,75.7,Groundnut
Annamayya,Kharif,Coastal Sands,251.1,133.0,180.7,8.3,1.19,27.0,524.3,89.6,Coconut
Nellore,Rabi,Laterite,169.2,95.3,124.7,6.2,0.33,32.8,1079.8,46.3,Sugarcane
Prakasam,Zaid,Coastal Sands,139.3,80.5,103.9,7.1,0.41,24.9,131.3,71.6,Castor
Nellore,Zaid,Alluvial,259.3,139.3,187.8,7.7,0.62,32.5,847.8,58.0,Vegetables
Annamayya,Kharif,Black,49.5,35.1,37.1,7.2,0.47,25.6,280.4,87.6,Pearl Millet
Vizianagaram,Zaid,Coastal Sands,260.8,140.4,189.4,6.0,0.88,28.0,251.5,46.6,Vegetables
Konaseema,Rabi,Black,179.5,101.3,130.4,7.7,0.88,23.7,477.9,89.6,Chillies
Nandyal,Kharif,Laterite,239.6,131.1,174.1,8.1,1.12,21.3,168.7,58.1,Cashew
Palnadu,Kharif,Red,180.3,101.3,131.1,7.0,0.84,24.3,924.4,52.4,Chillies
Krishna,Zaid,Black,81.6,50.0,62.7,7.3,0.54,26.7,444.0,44.0,Red Gram
Chittoor,Kharif,Red,110.1,66.8,83.6,6.6,0.81,32.6,820.4,58.0,Groundnut
Kadapa,Kharif,Alluvial,241.1,130.2,172.8,7.5,1.19,21.4,179.7,53.9,Cashew
Alluri Sitharama Raju,Zaid,Laterite,20.2,20.6,20.7,6.3,0.65,34.8,268.1,46.0,Paddy
Kakinada,Zaid,Laterite,70.9,45.8,54.9,8.4,0.86,28.3,921.3,43.0,Bengal Gram
NTR,Kharif,Black,120.6,70.6,90.2,5.9,0.93,33.8,532.6,45.4,Sesame
Vizianagaram,Rabi,Alluvial,129.2,75.4,97.3,5.9,0.93,20.7,206.6,42.6,Sunflower
Konaseema,Zaid,Black,241.1,129.8,173.2,6.4,0.61,32.8,110.9,45.3,Cashew
Nellore,Kharif,Red,187.3,105.7,139.3,8.5,0.66,20.3,284.6,65.2,Turmeric
Kakinada,Kharif,Alluvial,170.6,94.5,125.0,5.9,0.76,22.7,232.1,88.5,Tobacco
Bapatla,Zaid,Red,18.7,19.7,21.8,7.5,0.31,23.0,129.7,80.5,Paddy
Sri Satya Sai,Kharif,Laterite,79.8,51.3,61.9,7.3,0.46,26.4,383.4,46.5,Red Gram
Palnadu,Kharif,Alluvial,260.6,140.1,188.0,6.7,1.17,32.8,941.8,52.3,Vegetables
Eluru,Kharif,Coastal Sands,180.8,101.4,131.4,5.7,0.34,30.5,1008.7,87.5,Chillies
East Godavari,Zaid,Alluvial,41.3,30.3,35.1,8.0,0.96,23.2,170.8,42.9,Sorghum
Palnadu,Kharif,Red,140.7,80.2,102.5,6.4,0.47,32.9,391.1,53.9,Castor
West Godavari,Zaid,Red,21.4,21.5,19.8,5.9,0.3,31.6,1083.0,79.8,Paddy
Srikakulam,Zaid,Black,38.5,28.4,34.1,7.5,1.02,22.8,297.2,80.9,Sorghum
Vizianagaram,Kharif,Black,220.0,119.5,158.7,8.4,0.44,32.4,346.4,86.2,Papaya
Tirupati,Zaid,Coastal Sands,152.3,86.5,112.8,6.8,0.98,20.5,822.6,54.9,Cotton
Nandyal,Zaid,Laterite,130.6,75.4,98.0,8.3,0.93,21.2,230.6,74.5,Sunflower
Bapatla,Kharif,Alluvial,251.4,136.4,182.2,6.9,1.04,29.6,904.5,62.8,Coconut
Konaseema,Rabi,Black,249.2,134.7,179.9,5.5,1.17,32.0,867.5,49.8,Coconut
Tirupati,Rabi,Laterite,230.3,124.7,166.1,6.4,1.0,31.0,340.4,87.7,Oil Palm
Kurnool,Zaid,Laterite,189.3,105.5,138.0,5.9,0.51,23.0,646.7,57.7,Turmeric
Tirupati,Kharif,Alluvial,69.0,44.9,55.0,7.1,0.61,33.9,325.9,69.0,Papaya
Konaseema,Kharif,Red,180.5,99.2,132.6,7.6,0.77,30.0,497.8,87.7,Chillies
Kadapa,Kharif,Coastal Sands,241.0,130.9,174.6,6.1,1.1,22.9,895.4,61.2,Cashew
Sri Satya Sai,Zaid,Black,170.5,94.4,124.0,7.3,0.87,28.7,913.0,60.6,Tobacco
Annamayya,Zaid,Red,159.2,92.9,121.5,8.1,1.19,33.7,884.5,43.1,Sugarcane
Palnadu,Kharif,Black,139.6,78.4,104.8,6.0,0.71,26.9,967.6,79.8,Castor
Chittoor,Kharif,Alluvial,251.5,136.5,180.0,5.8,0.68,20.2,765.8,86.8,Coconut
Alluri Sitharama Raju,Rabi,Laterite,71.1,45.0,54.8,8.1,0.91,24.0,904.4,58.4,Bengal Gram
Kadapa,Rabi,Laterite,249.3,136.1,182.8,7.1,0.75,28.4,681.6,88.0,Coconut
NTR,Rabi,Black,78.7,50.8,61.1,5.5,0.78,32.8,786.1,40.9,Red Gram
Kadapa,Kharif,Alluvial,20.2,19.4,18.8,5.9,0.91,21.8,248.7,88.6,Paddy
Parvathipuram Manyam,Zaid,Coastal Sands,250.6,134.5,182.3,5.9,0.44,24.7,1094.4,69.1,Coconut
